Country,GDPperCapita,Emissions,Electricity,HDI,LifeExpec,YrSchool,MeanYrSchool,GNIperCapita,GNIminusHDI,Development,Population,YearlyChange,NetChange,Density,LandArea,Migrants,UrbanPop,WorldShare,Pop Density,Continent,Democracy,Continent2
Myanmar,"6,674",0.6,"11,000,000,000",0.5842521961,66.867,10.3154,4.953399443,5763.943772,-13,Medium,"54,409,800",0.0067,"364,380",83,"653,290","-163,313",0.31,0.007,Very Low,Asia,3.55,Asia
Samoa,"6,483",0.7,"100,000,000",0.706770762,73.187,12.52,10.59494988,5884.838411,18,High,"198,414",0.0067,"1,317",70,"2,830","-2,803",0.18,0,Very Low,Oceania,#N/A,#N/A
Angola,"6,452",1.0,"8,100,000,000",0.5744877577,60.782,11.777202,5.125459533,5554.697384,-16,Medium,"32,866,272",0.0327,"1,040,977",26,"1,246,700","6,413",0.67,0.0042,Very Low,Africa,3.72,Africa
Tonga,"6,419",1.1,"46,500,000",0.7174303613,70.801,14.3,11.21,5782.568173,26,High,"105,695",0.0115,"1,201",147,720,-800,0.24,0,Low,Oceania,#N/A,#N/A
Nigeria,"5,990",0.6,"24,000,000,000",0.534136286,54.332,9.746414,6.4619,5085.540258,-22,Low,"206,139,589",0.0258,"5,175,990",226,"910,770","-60,000",0.52,0.0264,Low,Africa,4.12,Africa
Congo,"5,662",,"900,000,000",0.6084995999,64.29,11.60205989,6.502271707,5803.88345,-8,Medium,"5,518,087",0.0256,"137,579",16,"341,500","-4,000",0.7,0.0007,Very Low,Africa,#N/A,#N/A
Pakistan,"5,567",1.0,"82,000,000,000",0.5604463594,67.114,8.46498,5.158944258,5190.07941,-17,Medium,"220,892,340",0.02,"4,327,022",287,"770,880","-233,379",0.35,0.0283,Medium,Asia,4.25,Asia
Nicaragua,"5,533",1.0,"4,412,000,000",0.6511042613,74.275,12.20689607,6.796,4789.840116,11,Medium,"6,624,554",0.0121,"79,052",55,"120,340","-21,272",0.57,0.0008,Very Low,Americas,3.55,North America
Honduras,"5,138",1.1,"5,300,000,000",0.6229814711,75.088,10.20793667,6.5964413,4258.345021,7,Medium,"9,904,607",0.0163,"158,490",89,"111,890","-6,800",0.57,0.0013,Very Low,Americas,5.42,North America
Sudan,"4,759",0.4,"9,900,000,000",0.5074988093,65.095,7.73987,3.72,3961.615683,-26,Low,"43,849,260",0.0242,"1,036,022",25,"1,765,048","-50,000",0.35,0.0056,Very Low,Africa,2.7,Africa
Ghana,"4,746",0.7,"9,200,000,000",0.5956697165,63.78,11.51923,7.184,4098.860341,-2,Medium,"31,072,940",0.0215,"655,084",137,"227,540","-10,000",0.57,0.004,Low,Africa,6.63,Africa
Bangladesh,"4,371",0.6,"55,500,000,000",0.6136793374,72.32,11.20449,6.06183,4057.250181,6,Medium,"164,689,383",0.0101,"1,643,222","1,265","130,170","-369,501",0.39,0.0211,High,Asia,5.88,Asia
Cambodia,"4,360",0.7,"4,100,000,000",0.5814849803,69.57,11.33676945,4.844,3597.396365,2,Medium,"16,718,965",0.0141,"232,423",95,"176,520","-30,000",0.24,0.0021,Very Low,Asia,3.53,Asia
Papua New Guinea,"4,336",0.5,"3,000,000,000",0.5430756229,64.263,9.99646,4.62,3685.79897,-9,Low,"8,947,024",0.0195,"170,915",20,"452,860",-800,0.13,0.0011,Very Low,Oceania,6.03,Oceania
Zambia,"4,223",0.3,"11,000,000,000",0.5914624398,63.51,12.06104,7.104178868,3581.886613,7,Medium,"18,383,955",0.0293,"522,925",25,"743,390","-8,000",0.45,0.0024,Very Low,Africa,5.09,Africa
Ivory Coast,"4,207",,,0.5157471284,57.422,9.62984,5.192,3589.405001,-16,Low,"26,378,274",0.0257,"661,730",83,"318,000","-8,000",0.51,0.0034,Very Low,Africa,4.05,Africa
Mauritania,"4,151",0.7,"800,000,000",0.5270571396,64.704,8.46557,4.614,3746.083654,-17,Low,"4,649,658",0.0274,"123,962",5,"1,030,700","5,000",0.57,0.0006,Very Low,Africa,3.92,Africa
Marshall Islands,"3,989",..,"600,000,000",0.697589284,73.861,12.39008,10.8856786,4633.4778,21,Medium,"59,190",0.0068,399,329,180,,0.7,0,Medium,Oceania,#N/A,#N/A
Kyrgyzstan,"3,884",1.7,"11,000,000,000",0.6742028298,71.321,13.36096,10.88040163,3316.79327,30,Medium,"6,524,195",0.0169,"108,345",34,"191,800","-4,000",0.36,0.0008,Very Low,Asia,4.89,Asia
Cameroon,"3,785",0.6,"6,100,000,000",0.5627253141,58.921,12.7494,6.2917,3291.127921,3,Medium,"26,545,863",0.0259,"669,483",56,"472,710","-4,800",0.56,0.0034,Very Low,Africa,2.85,Africa
Senegal,"3,782",0.7,"3,000,000,000",0.5137695727,67.665,8.97107,3.068934,3255.987639,-12,Low,"16,743,927",0.0275,"447,563",87,"192,530","-20,000",0.49,0.0021,Very Low,Africa,5.81,Africa
Micronesia,"3,553",,"178,600,000",0.6141578091,67.755,11.54947988,7.717375215,3700.096885,10,Medium,"115,023",0.0106,"1,208",164,700,-600,0.21,0,Low,Oceania,#N/A,#N/A
Kenya,"3,467",0.4,"7,600,000,000",0.578587728,66.342,11.06424,6.564,3051.689885,9,Medium,"53,771,296",0.0228,"1,197,323",94,"569,140","-10,000",0.28,0.0069,Very Low,Africa,5.18,Africa
Tajikistan,"3,449",0.7,"12,000,000,000",0.6560391102,70.879,11.40786,10.67167179,3482.378737,26,Medium,"9,537,645",0.0232,"216,627",68,"139,960","-20,000",0.27,0.0012,Very Low,Asia,1.93,Asia
Sao Tome and Principe,"3,418",0.7,,0.6085561894,70.17,12.68717,6.436763183,3024.430752,20,Medium,"219,159",0.0191,"4,103",228,960,"-1,680",0.74,0,Low,Africa,#N/A,#N/A
Tanzania,"3,227",0.2,"5,000,000,000",0.5283026256,65.015,8.009893333,6.008,2805.116129,0,Low,"59,734,218",0.0298,"1,728,755",67,"885,800","-40,076",0.37,0.0077,Very Low,Africa,5.16,Africa
Vanuatu,"3,221",0.3,"55,800,000",0.596848312,70.323,11.4168879,6.84,2807.860156,17,Medium,"307,145",0.0242,"7,263",25,"12,190",120,0.24,0,Very Low,Oceania,#N/A,#N/A
Lesotho,"3,219",0.3,"800,000,000",0.5179548796,53.705,10.73776,6.348,3243.839094,-9,Low,"2,142,249",0.008,"16,981",71,"30,360","-10,047",0.31,0.0003,Very Low,Africa,6.54,Africa
Nepal,"3,089",0.3,"6,394,380,000",0.5794852698,70.478,12.1952,4.856,2748.200382,13,Medium,"29,136,808",0.0185,"528,098",203,"143,350","41,710",0.21,0.0037,Low,Asia,5.28,Asia
Zimbabwe,"3,029",0.8,"8,000,000,000",0.5631001688,61.195,10.45108,8.342245697,2661.072065,12,Medium,"14,862,924",0.0148,"217,456",38,"386,850","-116,858",0.38,0.0019,Very Low,Africa,3.16,Africa
Comoros,"2,913",0.3,"40,920,000",0.5378256562,64.118,11.23886102,4.908531258,2426.385781,7,Low,"869,601",0.022,"18,715",467,"1,861","-2,000",0.29,0.0001,Medium,Africa,3.15,Africa
"Gambia, The","2,612",0.3,,0.4657249014,61.735,9.482098751,3.666,1489.572356,4,Low,"2,416,668",0.0294,"68,962",239,"10,120","-3,087",0.59,0.0003,Low,Africa,4.33,Africa
Yemen,"2,575",0.4,"5,200,000,000",0.462717147,66.096,8.66439,3.2,1433.295869,3,Low,"29,825,964",0.0228,"664,042",56,"527,970","-30,000",0.38,0.0038,Very Low,Asia,1.95,Asia
Guinea,"2,504",0.2,"900,000,000",0.4655150006,61.185,9.00675,2.707392597,2211.002107,-10,Low,"13,132,795",0.0283,"361,549",53,"245,720","-4,000",0.39,0.0017,Very Low,Africa,3.14,Africa
Benin,"2,424",0.7,"1,000,000,000",0.519834165,61.47,12.61455,3.774,2134.589379,2,Low,"12,123,200",0.0273,"322,049",108,"112,760","-2,000",0.48,0.0016,Low,Africa,5.09,Africa
Solomon Islands,"2,422",0.2,"79,050,000",0.557341016,72.835,10.22041433,5.54073206,2026.724743,13,Medium,"686,884",0.0255,"17,061",25,"27,990","-1,600",0.23,0.0001,Very Low,Oceania,#N/A,#N/A
Mali,"2,316",0.1,"1,400,000,000",0.4272062437,58.893,7.60336,2.352954412,1965.385142,-17,Low,"20,250,833",0.0302,"592,802",17,"1,220,190","-40,000",0.44,0.0026,Very Low,Africa,4.92,Africa
Kiribati,"2,293",0.3,"27,900,000",0.6232437586,68.116,11.81000261,7.865527643,3917.433007,11,Medium,"119,449",0.0157,"1,843",147,810,-800,0.57,0,Low,Oceania,#N/A,#N/A
Rwanda,"2,251",0.1,"500,000,000",0.5360147201,68.7,11.16659,4.417150539,1958.611877,11,Low,"12,952,218",0.0258,"325,268",525,"24,670","-9,000",0.18,0.0017,Medium,Africa,3.16,Africa
Uganda,"2,038",0.1,"2,700,000,000",0.5281909035,62.973,11.24256,6.090251,1752.210989,11,Low,"45,741,007",0.0332,"1,471,413",229,"199,810","168,694",0.26,0.0059,Low,Africa,5.02,Africa
Ethiopia,"2,022",0.2,"6,700,000,000",0.4698496253,66.24,8.710185884,2.795442993,1781.756181,-4,Low,"114,963,588",0.0257,"2,884,858",115,"1,000,000","30,000",0.21,0.0147,Low,Africa,3.44,Africa
Burkina Faso,"1,984",0.2,"1,200,000,000",0.4335470488,61.174,8.90646,1.585573608,1705.485422,-8,Low,"20,903,273",0.0286,"581,895",76,"273,600","-25,000",0.31,0.0027,Very Low,Africa,4.04,Africa
Chad,"1,968",0.0,"200,000,000",0.4011759683,53.977,7.465364,2.409497071,1715.568235,-15,Low,"16,425,864",0.03,"478,988",13,"1,259,200","2,000",0.23,0.0021,Very Low,Africa,1.61,Africa
Afghanistan,"1,955",0.3,"4,700,000,000",0.4959595228,64.486,10.13892,3.93,1745.665705,1,Low,"38,928,346",0.0233,"886,592",60,"652,860","-62,920",0.25,0.005,Very Low,Asia,2.85,Asia
Madagascar,"1,891",0.2,"1,300,000,000",0.5206973589,66.681,10.41317,6.1,1403.915973,19,Low,"27,691,018",0.0268,"721,711",48,"581,795","-1,500",0.39,0.0036,Very Low,Africa,5.64,Africa
Haiti,"1,866",0.3,"400,000,000",0.5027313746,63.66,9.5,5.441686,1664.892927,6,Low,"11,402,528",0.0124,"139,451",414,"27,560","-35,000",0.57,0.0015,Medium,Americas,4.57,North America
Guinea-Bissau,"1,799",0.2,"31,620,000",0.4614060007,58.003,10.5,3.303495308,1593.184025,-2,Low,"1,968,001",0.0245,"47,079",70,"28,120","-1,399",0.45,0.0003,Very Low,Africa,2.63,Africa
Togo,"1,773",0.4,"1,100,000,000",0.512732736,60.76,12.56833,4.949925584,1592.536702,10,Low,"8,278,724",0.0243,"196,358",152,"54,390","-2,000",0.43,0.0011,Low,Africa,3.3,Africa
Sierra Leone,"1,602",0.2,"200,000,000",0.4384652821,54.309,10.17593,3.6,1381.299109,1,Low,"7,976,983",0.021,"163,768",111,"72,180","-4,200",0.43,0.001,Low,Africa,4.86,Africa
Mozambique,"1,459",0.3,"12,000,000,000",0.446044681,60.163,9.74711,3.540898438,1153.697636,4,Low,"31,255,435",0.0293,"889,399",40,"786,380","-5,000",0.38,0.004,Very Low,Africa,3.65,Africa
Malawi,"1,311",0.1,"1,900,000,000",0.4854001863,63.798,10.95276,4.63,1159.120065,11,Low,"19,129,952",0.0269,"501,205",203,"94,280","-16,053",0.18,0.0025,Low,Africa,5.5,Africa
Liberia,"1,308",0.3,"300,000,000",0.464720319,63.73,9.57967,4.668,1040.085099,9,Low,"5,057,681",0.0244,"120,307",53,"96,320","-5,000",0.53,0.0006,Very Low,Africa,5.45,Africa
Niger,"1,063",0.1,"1,200,000,000",0.3765910831,62.024,6.47145,2.029048967,912.0418982,-3,Low,"24,206,644",0.0384,"895,929",19,"1,266,700","4,000",0.17,0.0031,Very Low,Africa,3.29,Africa
Congo,932,,"9,300,000,000",0.4587300707,60.368,9.7025948,6.75948,800.0214295,8,Low,"89,561,403",0.0319,"2,770,836",40,"2,267,050","23,861",0.46,0.0115,Very Low,Africa,#N/A,#N/A
Central African Republic,859,0.1,"200,000,000",0.3806621111,52.805,7.56836,4.282,776.6759961,0,Low,"4,829,767",0.0178,"84,582",8,"622,980","-40,000",0.43,0.0006,Very Low,Africa,1.32,Africa
Burundi,744,0.0,"400,000,000",0.4228815982,61.247,11.30463,3.124365,659.7322625,4,Low,"11,890,784",0.0312,"360,204",463,"25,680","2,001",0.14,0.0015,Medium,Africa,2.15,Africa
